id,text
1,글로벌 프런티어 프로그램은 방학 동안 해외 창업·탐방을 지원하는 비교과 활동입니다.
2,닥터정 프로그램은 여름방학 중 해외 봉사에 참여하는 봉사활동 프로그램입니다.
3,KU 글로벌 챌린지 프로그램은 방학 기간 해외 대학과 공동연구 및 프로젝트를 수행하는 프로그램입니다.
4,KU 피어 멘토링은 재학생이 신입생의 학업과 학교생활을 지원하는 비교과 프로그램입니다.
5,KU 리더십 아카데미는 리더십 역량 강화를 위한 국내외 연수와 워크숍을 제공하는 프로그램입니다.
6,KU 문화탐방단은 방학 중 국내외 주요 문화유적지를 탐방하는 비교과 프로그램입니다.
7,Next Frontier 프로그램은 글로벌 이슈를 주제로 해외 봉사 및 교류 활동을 하는 프로그램입니다.
8,스타트업 캠프는 창업에 관심 있는 학생들을 대상으로 아이디어 기획 및 피칭 워크숍을 진행합니다.
9,국제통상캠프는 여름방학 동안 무역 관련 실무를 배우는 비교과 교육 프로그램입니다.
10,해외 인턴십 프로그램은 방학 중 해외 기업에서 인턴십 경험을 제공하는 프로그램입니다.
11,글로벌 인턴십 매칭 프로그램은 해외 인턴십 기회를 연결해주는 비교과 프로그램입니다.
12,공공기관 인턴십은 국내 공공기관에서 실무를 경험하는 방학 프로그램입니다.
13,KU 글로벌 융합리더 과정은 다양한 글로벌 산업분야 연계 교육과 프로젝트를 제공합니다.
14,KU 창의융합아이디어 경진대회는 창의적 문제해결 아이디어를 발표하는 경진대회 프로그램입니다.
15,KU 취업역량 강화캠프는 방학 중 취업준비생을 대상으로 이력서, 면접 대비를 집중 지도합니다.
16,KU 독서토론 아카데미는 다양한 분야 도서를 읽고 토론하는 비교과 프로그램입니다.
17,KU 영어 프레젠테이션 캠프는 영어 발표력 향상을 목표로 하는 집중형 캠프입니다.
18,방학 집중 자격증 과정은 여름·겨울방학 동안 각종 전문 자격증 취득을 지원하는 비교과 프로그램입니다.
19,해외 교류 프로그램은 방학 중 해외 대학과의 교류 학습을 통해 글로벌 역량을 강화하는 활동입니다.
20,글로벌 창업 워크숍은 해외 창업가 초청 특강 및 실습 중심 창업 프로그램입니다.
21,KU 비즈니스 리더십 과정은 기업 실무 사례를 중심으로 비즈니스 리더십을 배웁니다.
22,KU 해외 단기연수 프로그램은 방학 중 단기 어학연수 및 문화체험 기회를 제공합니다.
23,글로벌 리더십 캠프는 리더십 향상을 위한 해외 연수 및 워크숍을 포함하는 비교과 프로그램입니다.
24,해외 교육봉사단은 방학 기간 중 해외 지역 학교에 교육 봉사를 진행하는 프로그램입니다.
25,국내 사회혁신 프로젝트는 사회문제 해결을 위한 프로젝트를 기획하고 실천하는 비교과 프로그램입니다.
26,ICT 창업 경진대회는 정보통신기술(ICT) 기반 창업 아이디어를 발표하는 경진대회입니다.
27,전공 심화 비교과 과정은 전공 학습 역량을 강화하기 위한 특화 교육과정입니다.
28,글로벌 경제 리더 양성 프로그램은 경제 분야 국제 감각과 실무역량을 키우는 비교과 활동입니다.
29,KU 미래형 인재 양성 과정은 미래 사회를 대비하는 창의적 문제해결 역량을 개발하는 프로그램입니다.
30,환경보호 프로젝트 프로그램은 지속가능발전을 주제로 한 환경 보호 활동을 장려하는 비교과 프로그램입니다.